Jogador,Assists_Simuladas,Assists_Medias_Torneio
Takefusa Kubo (Japan),15410,1.54
Junya Ito (Japan),15305,1.53
Lamine Yamal (Spain),13582,1.36
Achraf Hakimi (Morocco),13468,1.35
Ivan Perišić (Croatia),11698,1.17
Akram Afif (Qatar),11607,1.16
James Rodríguez (Colombia),10991,1.1
Saman Ghoddos (Iran),10644,1.06
Ali Abdi (Tunisia),10247,1.02
Denzel Dumfries (Netherlands),10102,1.01
Mehdi Taremi (Iran),9992,1.0
Declan Rice (England),10009,1.0
Mikel Oyarzabal (Spain),9948,0.99
Salem Al-Dawsari (Saudi Arabia),9325,0.93
Ali Ahmed (Canada),9055,0.91
Marc Guéhi (England),9145,0.91
Rubén Vargas (Switzerland),9024,0.9
Remo Freuler (Switzerland),8811,0.88
Joshua Kimmich (Germany),8776,0.88
Kang-in Lee (South Korea),8473,0.85
Kylian Mbappé (France),8446,0.84
Bruno Fernandes (Portugal),8368,0.84
Jérémy Doku (Belgium),8361,0.84
Jordan Ayew (Ghana),8281,0.83
Jonathan David (Canada),8131,0.81
Julian Ryerson (Norway),7980,0.8
Jude Bellingham (England),7916,0.79
Nico Williams (Spain),7833,0.78
Ali Jasim (Iraq),7663,0.77
Jordan Bos (Australia),7665,0.77
