Jogador,Assists_Simuladas,Assists_Medias_Torneio
Takefusa Kubo (Japan),3017,1.5085
Junya Ito (Japan),2968,1.484
Achraf Hakimi (Morocco),2660,1.33
Lamine Yamal (Spain),2522,1.261
Akram Afif (Qatar),2357,1.1785
Ivan Perišić (Croatia),2339,1.1695
Ali Abdi (Tunisia),2211,1.1055
Saman Ghoddos (Iran),2133,1.0665
James Rodríguez (Colombia),2089,1.0445
Declan Rice (England),2049,1.0245
Mehdi Taremi (Iran),1987,0.9935
Denzel Dumfries (Netherlands),1933,0.9665
Salem Al-Dawsari (Saudi Arabia),1896,0.948
Marc Guéhi (England),1891,0.9455
Mikel Oyarzabal (Spain),1857,0.9285
Ali Ahmed (Canada),1731,0.8655
Jordan Ayew (Ghana),1653,0.8265
Jude Bellingham (England),1651,0.8255
Rubén Vargas (Switzerland),1639,0.8195
Jérémy Doku (Belgium),1628,0.814
Ali Jasim (Iraq),1616,0.808
Joshua Kimmich (Germany),1601,0.8005
Kang-in Lee (South Korea),1599,0.7995
Remo Freuler (Switzerland),1598,0.799
Connor Metcalfe (Australia),1594,0.797
Jordan Bos (Australia),1560,0.78
Kylian Mbappé (France),1558,0.779
Bruno Fernandes (Portugal),1538,0.769
Jonathan David (Canada),1522,0.761
Nico Williams (Spain),1518,0.759
