Jogador,Assists_Simuladas,Assists_Medias_Torneio
Junya Ito (Japan),3125,1.5625
Takefusa Kubo (Japan),2942,1.471
Achraf Hakimi (Morocco),2661,1.3305
Akram Afif (Qatar),2438,1.219
Lamine Yamal (Spain),2430,1.215
Ivan Perišić (Croatia),2250,1.125
Ali Abdi (Tunisia),2200,1.1
Saman Ghoddos (Iran),2188,1.094
Mehdi Taremi (Iran),2113,1.0565
Declan Rice (England),2055,1.0275
Denzel Dumfries (Netherlands),1999,0.9995
James Rodríguez (Colombia),1996,0.998
Salem Al-Dawsari (Saudi Arabia),1914,0.957
Marc Guéhi (England),1859,0.9295
Mikel Oyarzabal (Spain),1759,0.8795
Jérémy Doku (Belgium),1716,0.858
Kang-in Lee (South Korea),1707,0.8535
Jordan Ayew (Ghana),1688,0.844
Ali Ahmed (Canada),1679,0.8395
Rubén Vargas (Switzerland),1653,0.8265
Ali Jasim (Iraq),1645,0.8225
Jude Bellingham (England),1640,0.82
Jordan Bos (Australia),1629,0.8145
Kylian Mbappé (France),1614,0.807
Jonathan David (Canada),1588,0.794
Joshua Kimmich (Germany),1586,0.793
Bruno Fernandes (Portugal),1578,0.789
Connor Metcalfe (Australia),1576,0.788
Remo Freuler (Switzerland),1558,0.779
Julian Ryerson (Norway),1553,0.7765
