Jogador,Assists_Simuladas,Assists_Medias_Torneio
Takefusa Kubo (Japan),27451,2.75
Junya Ito (Japan),27425,2.74
Lamine Yamal (Spain),23242,2.32
Achraf Hakimi (Morocco),22835,2.28
Ivan Perišić (Croatia),16888,1.69
James Rodríguez (Colombia),16606,1.66
Mikel Oyarzabal (Spain),16598,1.66
Declan Rice (England),16157,1.62
Saman Ghoddos (Iran),16000,1.6
Denzel Dumfries (Netherlands),15478,1.55
Marc Guéhi (England),14860,1.49
Mehdi Taremi (Iran),14619,1.46
Bruno Fernandes (Portugal),13849,1.38
Joshua Kimmich (Germany),13729,1.37
Kylian Mbappé (France),13534,1.35
Nico Williams (Spain),13430,1.34
Ali Abdi (Tunisia),12970,1.3
Julian Ryerson (Norway),12869,1.29
Kang-in Lee (South Korea),12788,1.28
Akram Afif (Qatar),12635,1.26
Jude Bellingham (England),12587,1.26
Lionel Messi (Argentina),12617,1.26
Rubén Vargas (Switzerland),12378,1.24
Jérémy Doku (Belgium),12395,1.24
Martin Ødegaard (Norway),11992,1.2
Remo Freuler (Switzerland),12009,1.2
Azzedine Ounahi (Morocco),11843,1.18
Ali Ahmed (Canada),11661,1.17
Nicolás González (Argentina),11677,1.17
Ferran Torres (Spain),11630,1.16
