Jogador,Assists_Simuladas,Assists_Medias_Torneio
Junya Ito (Japan),16633,1.66
Takefusa Kubo (Japan),16503,1.65
Achraf Hakimi (Morocco),14761,1.48
Bruno Fernandes (Portugal),14512,1.45
Lamine Yamal (Spain),13060,1.31
Akram Afif (Qatar),12235,1.22
Ivan Perišić (Croatia),11958,1.2
Saman Ghoddos (Iran),11823,1.18
Ali Abdi (Tunisia),11420,1.14
Nuno Mendes (Portugal),11190,1.12
Declan Rice (England),11209,1.12
Lionel Messi (Argentina),10919,1.09
Mehdi Taremi (Iran),10762,1.08
Denzel Dumfries (Netherlands),10372,1.04
Salem Al-Dawsari (Saudi Arabia),10271,1.03
Marc Guéhi (England),10280,1.03
Nicolás González (Argentina),10203,1.02
Jordan Ayew (Ghana),9564,0.96
Mikel Oyarzabal (Spain),9530,0.95
Ismaïla Sarr (Senegal),9078,0.91
Kang-in Lee (South Korea),8997,0.9
Ali Ahmed (Canada),9014,0.9
Joshua Kimmich (Germany),8756,0.88
Rubén Vargas (Switzerland),8824,0.88
James Rodríguez (Colombia),8846,0.88
Jérémy Doku (Belgium),8707,0.87
Arda Güler (Türkiye),8656,0.87
Jude Bellingham (England),8634,0.86
Remo Freuler (Switzerland),8610,0.86
Sadio Mané (Senegal),8365,0.84
